date,channelGrouping,medium,source,deviceCategory,sessions,users
2019-10-18,Social,referral,facebook.com,desktop,4,2
2019-09-23,Social,referral,pinterest.com,mobile,4,4
2019-10-18,Social,referral,pinterest.com,mobile,4,4
2019-10-18,Social,referral,l.facebook.com,desktop,4,4
2019-09-26,Social,referral,m.facebook.com,mobile,4,4
2019-10-13,Social,referral,m.facebook.com,mobile,4,4
2019-10-05,Social,referral,l.instagram.com,mobile,4,4
2019-10-26,Social,referral,lm.facebook.com,mobile,4,4
2019-10-28,Social,referral,lm.facebook.com,mobile,4,4
2019-10-29,Social,referral,lm.facebook.com,mobile,4,4
2019-09-25,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,4,1
2019-09-29,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,4,2
2019-10-04,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,4,1
2019-10-11,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,4,3
2019-10-13,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,4,1
2019-09-30,Organic Search,organic,google,desktop,5,5
2019-10-09,Organic Search,organic,google,desktop,5,3
2019-10-13,Organic Search,organic,google,desktop,5,5
2019-10-20,Organic Search,organic,google,tablet,5,4
2019-10-23,Organic Search,organic,google,desktop,5,5
2019-10-24,Organic Search,organic,google,desktop,5,5
2019-10-27,Organic Search,organic,google,tablet,5,5
2019-09-21,Direct,(none),(direct),desktop,5,3
2019-10-05,Direct,(none),(direct),tablet,5,3
2019-10-07,Direct,(none),(direct),desktop,5,5
2019-10-11,Direct,(none),(direct),desktop,5,3
2019-10-25,Direct,(none),(direct),desktop,5,4
2019-10-25,Paid Search,cpc,facebook,tablet,5,5
2019-10-28,Paid Search,cpc,facebook,tablet,5,5
2019-10-26,Social,referral,instagram.com,mobile,5,5
2019-10-11,Social,referral,pinterest.com,mobile,5,5
2019-10-14,Social,referral,pinterest.com,mobile,5,5
2019-10-16,Social,referral,pinterest.com,mobile,5,4
2019-10-20,Social,referral,pinterest.com,mobile,5,4
2019-10-04,Social,referral,m.facebook.com,mobile,5,4
2019-09-28,Social,referral,l.instagram.com,mobile,5,5
2019-10-06,Social,referral,l.instagram.com,mobile,5,5
2019-10-08,Social,referral,l.instagram.com,mobile,5,5
2019-10-13,Social,referral,l.instagram.com,mobile,5,5
2019-10-27,Social,referral,lm.facebook.com,mobile,5,5
2019-09-27,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,5,1
2019-10-03,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,5,1
2019-09-23,Organic Search,organic,google,desktop,6,5
2019-09-24,Organic Search,organic,google,desktop,6,5
2019-10-04,Organic Search,organic,google,desktop,6,5
2019-10-10,Organic Search,organic,google,desktop,6,6
2019-10-13,Organic Search,organic,google,mobile,6,5
2019-10-14,Organic Search,organic,google,desktop,6,5
2019-10-25,Organic Search,organic,google,desktop,6,6
2019-10-25,Paid Search,cpc,google,desktop,6,4
2019-09-29,Direct,(none),(direct),mobile,6,6
2019-10-05,Direct,(none),(direct),desktop,6,3
2019-10-08,Direct,(none),(direct),tablet,6,5
2019-10-15,Direct,(none),(direct),desktop,6,5
2019-10-14,Paid Search,cpc,pinterest,desktop,6,6
2019-10-07,Social,referral,facebook.com,desktop,6,6
2019-10-01,Social,referral,m.facebook.com,mobile,6,6
2019-10-21,Social,referral,m.facebook.com,mobile,6,6
2019-09-24,Social,referral,l.instagram.com,mobile,6,5
2019-09-25,Social,referral,l.instagram.com,mobile,6,6
2019-09-27,Social,referral,l.instagram.com,mobile,6,6
2019-10-24,Social,referral,lm.facebook.com,mobile,6,6
2019-09-22,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,6,4
2019-10-02,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,6,1
2019-10-12,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,6,3
2019-09-29,Organic Search,organic,google,desktop,7,7
2019-10-05,Organic Search,organic,google,mobile,7,7
2019-10-06,Organic Search,organic,google,desktop,7,6
2019-10-17,Organic Search,organic,google,desktop,7,7
2019-10-22,Paid Search,cpc,google,desktop,7,7
2019-09-26,Direct,(none),(direct),mobile,7,7
2019-10-14,Direct,(none),(direct),desktop,7,6
2019-10-23,Direct,(none),(direct),desktop,7,5
2019-10-17,Social,referral,facebook.com,desktop,7,6
2019-10-22,Social,referral,instagram.com,mobile,7,7
2019-10-23,Social,referral,instagram.com,mobile,7,6
2019-10-23,Social,referral,pinterest.com,mobile,7,7
2019-10-06,Social,referral,m.facebook.com,mobile,7,7
2019-10-09,Social,referral,m.facebook.com,mobile,7,7
2019-10-17,Social,referral,l.instagram.com,mobile,7,7
2019-10-22,Social,referral,l.instagram.com,mobile,7,7
2019-09-24,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,7,4
2019-10-14,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,7,1
2019-10-09,Organic Search,organic,google,mobile,8,8
2019-10-15,Paid Search,cpc,google,desktop,8,8
2019-10-25,Paid Search,cpc,google,tablet,8,8
2019-09-24,Direct,(none),(direct),mobile,8,8
2019-09-25,Direct,(none),(direct),mobile,8,8
2019-10-12,Direct,(none),(direct),mobile,8,7
2019-09-25,Social,referral,instagram.com,mobile,8,8
2019-09-26,Social,referral,instagram.com,mobile,8,8
2019-10-12,Social,referral,instagram.com,mobile,8,8
2019-10-25,Social,referral,instagram.com,mobile,8,8
2019-10-13,Social,referral,pinterest.com,mobile,8,8
2019-10-29,Social,referral,l.facebook.com,mobile,8,8
2019-10-16,Social,referral,m.facebook.com,mobile,8,8
2019-09-21,Social,referral,l.instagram.com,mobile,8,8
2019-10-15,Social,referral,l.instagram.com,mobile,8,8
2019-10-18,Social,referral,l.instagram.com,mobile,8,8
2019-09-23,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,8,3
2019-10-07,Referral,referral,2mrmh.r.a.d.sendibm1.com,desktop,8,6
2019-10-09,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,8,2
2019-10-15,Referral,referral,2mrmh.r.a.d.sendibm1.com,mobile,8,1
2019-10-03,Organic Search,organic,google,desktop,9,6
