Date,Symbol,Open,High,Low,Close,Volume_BTC,Volume_USD
2019-01-02,BTCUSD,3823.63,3911.99,3763.85,3890.45,3924.91,14998960.25
2017-06-21,BTCUSD,2734.14,2769.99,2586.27,2645.1,11073.04,29746424.6
2017-07-25,BTCUSD,2758.5,2772.99,2450.0,2558.27,22993.17,59204763.6
2017-07-18,BTCUSD,2229.07,2389.99,2145.65,2304.36,27980.12,64219054.72
2018-10-07,BTCUSD,6545.49,6589.98,6499.01,6573.17,405.53,2651882.18
2018-10-02,BTCUSD,6573.94,6594.98,6450.0,6498.88,1466.65,9571476.68
2018-11-03,BTCUSD,6350.98,6350.98,6318.11,6332.46,349.08,2210908.61
2019-02-22,BTCUSD,3901.59,3954.99,3885.12,3946.56,1570.5,6174383.0
2017-10-04,BTCUSD,4300.0,4339.98,4175.0,4214.25,4624.12,19650002.47
2019-06-05,BTCUSD,7682.81,7923.98,7570.65,7791.42,1914.1,14866239.17
2018-06-09,BTCUSD,7647.19,7684.22,7457.5,7501.64,726.65,5520341.28
2018-11-04,BTCUSD,6332.46,6453.22,6320.01,6425.09,878.53,5612493.02
2019-01-10,BTCUSD,4000.67,4034.61,3566.0,3626.76,6903.93,25909780.72
2019-03-15,BTCUSD,3855.87,3907.11,3847.95,3901.0,2134.67,8300709.16
2017-09-24,BTCUSD,3783.6,3783.61,3619.76,3667.99,1995.41,7381293.13
2019-07-15,BTCUSD,10200.8,11088.44,9862.89,10850.0,3214.98,33424877.9
2018-08-31,BTCUSD,6977.96,7088.22,6880.0,7017.1,2720.96,19008922.93
2019-08-28,BTCUSD,10175.8,10290.69,9512.5,9726.85,3434.06,33607083.44
2018-07-03,BTCUSD,6615.13,6669.47,6463.17,6508.36,4316.24,28405008.22
2018-03-31,BTCUSD,6838.71,7242.47,6788.51,6920.5,4842.85,33961333.43
2019-10-08,BTCUSD,8208.67,8340.94,8110.31,8188.17,714.41,5859885.38
2018-09-15,BTCUSD,6523.38,6566.47,6469.0,6530.08,592.16,3863105.58
2019-04-26,BTCUSD,5138.43,5290.47,5046.15,5140.38,2655.37,13663191.88
2019-08-27,BTCUSD,10367.23,10379.19,10026.73,10175.8,1058.26,10754088.23
2019-09-22,BTCUSD,9980.93,10091.19,9849.09,10031.31,326.62,3253066.48
2016-09-21,BTCUSD,608.59,608.59,591.95,595.61,4385.48,2609562.85
2016-05-31,BTCUSD,532.66,544.84,520.86,530.62,1446.16,771433.23
2016-10-14,BTCUSD,635.45,641.59,632.44,636.93,3519.2,2244783.14
2016-09-04,BTCUSD,600.17,611.84,500.0,607.67,662.56,397938.79
2017-03-18,BTCUSD,1070.6,1097.68,948.6,965.1,5799.2,5877646.98
2016-06-21,BTCUSD,741.84,741.84,625.0,673.71,3538.43,2378322.18
2016-11-05,BTCUSD,706.98,711.34,698.0,706.33,582.91,410662.3
2016-03-12,BTCUSD,418.93,420.17,405.96,409.72,1090.13,447418.4
2016-04-25,BTCUSD,461.05,468.67,453.78,465.9,2696.92,1245577.49
2019-09-28,BTCUSD,8197.0,8347.44,8022.5,8227.28,1064.94,8720080.65
2017-03-12,BTCUSD,1182.64,1237.68,1176.4,1232.63,1209.49,1471321.75
2017-04-01,BTCUSD,1084.22,1112.43,1073.68,1089.99,2174.03,2371663.55
2016-02-05,BTCUSD,390.17,390.17,384.8,387.21,894.87,346279.69
2018-09-23,BTCUSD,6710.26,6764.72,6666.67,6702.64,347.68,2331141.5
2016-02-18,BTCUSD,415.9,422.92,414.44,422.21,1800.84,755629.14
2017-07-22,BTCUSD,2661.99,2872.86,2650.01,2838.07,8416.24,23474021.72
2017-09-21,BTCUSD,3866.0,3899.86,3573.0,3616.74,9864.82,36923731.1
2015-11-07,BTCUSD,376.0,391.92,374.97,388.13,824.89,316125.45
2017-02-10,BTCUSD,984.81,1009.09,955.99,1003.97,2458.81,2412479.88
2018-05-30,BTCUSD,7460.0,7567.72,7268.76,7387.88,2452.87,18180788.95
2018-12-07,BTCUSD,3436.54,3536.36,3209.71,3377.83,10817.8,36284413.01
2016-05-16,BTCUSD,457.99,458.67,452.54,454.43,1178.48,538651.79
2016-12-13,BTCUSD,779.65,790.84,768.26,780.64,2543.27,1983054.61
2019-06-20,BTCUSD,9282.65,9605.44,9211.96,9534.88,1988.86,18731396.88
2017-01-26,BTCUSD,894.06,920.59,893.23,918.42,2109.97,1923339.66
2017-10-15,BTCUSD,5799.99,5833.72,5450.0,5694.61,7194.68,40519793.12
2016-09-23,BTCUSD,594.69,601.34,593.82,601.25,4969.89,2976842.02
2016-12-21,BTCUSD,800.88,829.09,796.89,826.21,3842.51,3144178.47
2017-01-24,BTCUSD,923.87,925.09,887.29,890.66,3830.88,3457393.83
2017-09-25,BTCUSD,3667.99,3956.86,3665.98,3916.48,6413.48,24626181.61
2019-06-02,BTCUSD,8566.1,8831.69,8546.38,8745.75,505.65,4397819.2
