Country,CountryID,ContinentID,Adolescent_fertility_rate,Adult_literacy_rate,Gross_income_per_capita,Net_primary_school_enrolment_ratio_female,Net_primary_school_enrolment_ratio_male,Population_in_thousands,Population_annual_growth_rate,Population_in_urban_areas,Population_living_below_poverty_line,Continent
Equatorial Guinea,56,3,128,87,16620,83,91,496,2.4,39,,Africa
Andorra,4,2,,,,83,83,74,1,93,,Europe
Azerbaijan,11,2,31,98.8,5430,83,86,8406,0.6,52,3.7,Europe
Kuwait,95,1,15,93.3,48310,83,84,2779,2.9,98,,Middle East
Greda,70,5,53,,8770,83,84,106,0.3,31,,South America
Armenia,8,2,30,99.4,4950,84,80,3010,-0.3,64,2,Europe
Botswa,24,3,51,81.2,11730,85,83,1858,1.2,58,,Africa
Kyrgyzstan,96,2,27,98.7,1790,85,86,5259,1.1,36,2,Europe
Morocco,122,1,35,52.3,3860,85,91,30853,1.2,59,,Middle East
Trinidad and Tobago,184,5,35,98.5,16800,85,85,1328,0.4,13,,South America
Vanuatu,196,6,92,75.5,3480,86,88,221,2.5,24,,Oceania
India,80,7,97,61,2460,87,90,1151751,1.5,29,34.3,Asia
Cape Verde,33,1,104,81.2,2590,87,88,519,2.3,58,,Middle East
Saudi Arabia,158,1,15,82.9,22300,87,87,24175,2.4,81,,Middle East
Gabon,64,3,144,83.8,11180,88,88,1311,1.5,84,,Africa
South Africa,168,3,65,82.4,8900,88,88,48282,0.7,60,10.7,Africa
Zimbabwe,202,3,101,89.5,,88,87,13228,0.8,36,,Africa
Belarus,16,2,22,99.6,9700,88,90,9742,-0.5,73,2,Europe
Hungary,78,2,21,,16970,88,89,10058,-0.3,67,2,Europe
Moldova,118,2,29,99,2660,88,88,3833,-1.1,47,2,Europe
United Arab Emirates,191,1,37,88.5,31190,88,88,4248,3.5,77,,Middle East
Colombia,38,5,92,92.8,6130,88,89,45558,1.4,73,7,South America
Costa Rica,43,5,77,94.9,9220,88,87,4399,1.6,62,3.3,South America
Saint Vincent and the Gredines,154,5,71,,6220,88,92,120,0.5,46,,South America
Cambodia,30,7,52,73.6,1550,89,91,14197,1.7,20,66,Asia
Lithuania,103,2,19,99.6,14550,89,90,3408,-0.5,66,2,Europe
Switzerland,175,2,5,,40840,89,89,7455,0.4,76,,Europe
Turkey,186,2,51,87.4,8410,89,93,73922,1.3,68,3.4,Europe
Bahamas,12,4,46,,,89,87,327,1.2,91,,North America
Chile,36,5,49,95.7,11300,89,90,16465,1,88,2,South America
Guya,74,5,90,,3410,89,89,739,-0.1,28,,South America
Bangladesh,14,7,135,47.5,1230,90,87,155991,1.8,25,41.3,Asia
Croatia,45,2,14,98.1,13850,90,91,4556,0.1,57,2,Europe
Kazakhstan,90,2,26,99.5,8700,90,90,15314,0.7,58,2,Europe
