AlbumID_Rank,Artist,Album,Release_Year,Spotify_Album,Description,wiki,Duration,Minutes,Seconds,Total_Seconds,Label,Sub_Metal_Genre,Rating,Rolling_Stone_Rating
99,Evanescence,Fallen,2003,02w1xMzzdF2OJxTeh1basm,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/evanescence-fallen-2003-w486982,https://en.wikipedia.org/wiki/Fallen_(Evanescence_album),48:45:00,48,45,2925,Epic,Alternative Metal,3,Rolling Stone
54,Helmet,Meantime,1992,0U7asaf4jS8EORTjHEWNcJ,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/helmet-meantime-1992-w486996,https://en.wikipedia.org/wiki/Meantime_(album),36:56:00,36,56,2216,Interscope,Alternative Metal,3.5,Rolling Stone
69,Soundgarden,Louder than Love,1989,4Q1HXCFg84PfQRZlPCA4SH,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/soundgarden-louder-than-love-1989-w487127,https://en.wikipedia.org/wiki/Louder_Than_Love,53:08:00,53,8,3188,A&M,Alternative Metal,3.5,Rolling Stone
65,Faith No More,Angel Dust,1992,59GwovfBk0Kp2HJw1G7E5Q,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/faith-no-more-angel-dust-1992-w486989,https://en.wikipedia.org/wiki/Angel_Dust_(Faith_No_More_album),61:50:00,61,50,3710,Slash,Alternative Metal,4,Rolling Stone
24,Rage Against the Machine,Rage Against the Machine,1992,4Io5vWtmV1rFj4yirKb4y4,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/rage-against-the-machine-1992-w487111,https://en.wikipedia.org/wiki/Rage_Against_the_Machine_(album),52:47:00,52,47,3167,Epic,Alternative Metal,4.5,Rolling Stone
26,Alice in Chains,Dirt,1992,58NXIEYqmq5dQHg9nV9duM,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/alice-in-chains-dirt-1992-w486945,https://en.wikipedia.org/wiki/Dirt_(Alice_in_Chains_album),57:33:00,57,33,3453,Columbia,Alternative Metal,4.5,Rolling Stone
71,Living Colour,Vivid,1988,532IlegHv3OfVGgyCFGBTs,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/living-colour-vivid-1988-w487026,https://en.wikipedia.org/wiki/Vivid_(Living_Colour_album),46:57:00,46,57,2817,Epic,Alternative Metal,4.5,AllMusic
4,Iron Maiden,Number of the Beast,1982,7mDQhUhl2eIpiJexZSSe1A,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/iron-maiden-the-number-of-the-beast-1982-w487005,https://en.wikipedia.org/wiki/The_Number_of_the_Beast_(album),37:40:00,37,40,2260,Harvest,New Wave of British Heavy Metal,2.5,Rolling Stone
3,Judas Priest,British Steel,1980,5bqtZRbUZUxUps8mrO9tGY,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/judas-priest-british-steel-1980-w487008,https://en.wikipedia.org/wiki/British_Steel_(album),35:59:00,35,59,2159,Columbia,New Wave of British Heavy Metal,4.5,AllMusic
12,Judas Priest,Screaming for Vengeance,1982,55MZQrenomrTq0aQneC7Pi,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/judas-priest-screaming-for-vengeance-1982-w487010,https://en.wikipedia.org/wiki/Screaming_for_Vengeance,38:42:00,38,42,2322,Columbia,New Wave of British Heavy Metal,4.5,AllMusic
13,Iron Maiden,Iron Maiden,1980,7hDURvn9LKQS3vBbnI4BOI,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/iron-maiden-iron-maiden-1980-w487001,https://en.wikipedia.org/wiki/Iron_Maiden_(album),37:10:00,37,10,2230,EMI,New Wave of British Heavy Metal,4.5,AllMusic
38,Iron Maiden,Powerslave,1984,081qKmiSpL1orcddjYlSGE,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/iron-maiden-powerslave-1984-w487002?,https://en.wikipedia.org/wiki/Powerslave,50:33:00,50,33,3033,EMI,New Wave of British Heavy Metal,4.5,AllMusic
42,Diamond Head,Lightning to the Nations,1980,,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/diamond-head-lightning-to-the-nations-1980-w486973,https://en.wikipedia.org/wiki/Lightning_to_the_Nations,41:37:00,41,37,2497,Happy Face,New Wave of British Heavy Metal,4.5,AllMusic
43,Judas Priest,Stained Class,1978,0v6FGuCgvRotTNL1KoX297,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/judas-priest-stained-class-1978-w487013,https://en.wikipedia.org/wiki/Stained_Class,43:25:00,43,25,2605,Columbia,New Wave of British Heavy Metal,4.5,AllMusic
